comment,price_value
خیلی دستگاه خوبیه حتی وقتی شبکه رو عوض میکنید اسلوموشن نمیشه نخرید ضرر کردید,1
عطر ها کلا سلیقه ایه من بخاطره بسته بندی زیباش گرفتم برای هدیه ولی یکم ظاهرا عطرش پس داده بود ولی زیاد معلوم نبود,0
قشنگ پولتونو بریزید اشغال فقط ال ای دیش کار میکنه برید۵۰ دلاریشم بخرید باز دکوره اینو تیونر های امریکایی هم تایید کردن,1
مواد داخلش خیلی خوبه و تازه ان کاسکوی من عاشقه همه خوراکیای داخلشه به عنوان جایزه روزی یه بار یه مشت بهش میدم کلی ذوق داره انقدز که جلدسو میشناسه,0
دستکش کاملا با تصویر متفاوت بوده  و جنسش هم از پشم که گفته شده بود نمی باشد.,0
حدودا نیم کیلو خطای اندازه گیری داره که قطعا کسانی که ترازو میخرن چون وزنشون براشون مهمه رفتن دنبال خریدن ترازو و نیم کیلو خطا برای این افراد اصلا قابل چشم پوشی نیست...من مرجوعش کردم..به نظرم نخرید,1
سلام من فکر کردم بلند تره و نصف کابل شارژرمو پوشونده,0
"تو خر خونه باید یه مونوپولی باشه
بزرگ و کوچیک هم نداره ",0
همه چیر،رنگ و جنس و اندازه دقیقا همون چیزی بود که سفارش داده بودم و کاملا راضیم,0
"لامپ با قاب پلاستیکی که با آرمیچر که روی پلاستیکی که مثل منشور هست کار میکنه و زیر اون لامپ ها اصلی قرار داره
من به اشتباه هفت رنگ سفارش دادم و فکر کردم رنگ های داخل لامپ هفت رنگه ولی بعد سفارش فهمیدم رنگ داخل ثابت هستش
به هر حال من هفت رنگ سفارش دادم و باید هفت رنگ میاوردن ولی برای من ابی بود
در کل خوشگله ولی ظاهر نه چندان جالب",0
خیلی ناز و گوگولیه واقعن پیشنهاد میکنم بخرید,1
من برای خواهرم خریدم که خیلی راضیه برای خودمم مردانشو خریدم که واقعا راضیم,0
"ماسک خوبی هستش 
بند هاش زود کنده نمیشه و پیشنهاد میکنم حتما بخرید ",0
این غذا در حقیقت بیشتر برای شکم پر کردن هستش و ارزش تغذیه ای زیادی نداره اما همه جوره از غذای خشک های فله و بی کیفیت بازار بهتره. بیشتر برای حمایت از سگ های بدون سرپرست استفاده میشه و به درد سگ های کوچیک و آپارتمانی نمی خوره. اگر سگتون پر خوره ، برای اینکه یکم صرفه جویی در هزینه کرده باشین و در عین حال سمت غذاهای ناسالم مثل اسکلت مرغ و غذای فله هم نرید ، این غذا رو همراه با چند نوع غذای پختنی به عنوان مکمل استفاده کنید. ولی همین شرکت یه مدل با 29 درصد پروتئین هم تولید میکنه که کیسش سیاهه و به مراتب با کیفیت تر از اینه و اختلاف قیمت چندانی با هم ندارن و من اون رو بیشتر توصیه میکنم.,0
طبق عکس نبود و این ژل با همین تصویرخیلی خوبه ،ولی برای من نوع دیگه اش رو فرستادن که مرجوع کردم،داخل حرف Q روی تیوپ اگه نقطه نقطه باشه ،سفیدک میزنه,0
توصیه میکنم هر خانونی این کتاب رو بخونه دریک کلام عالیه تمام,0
"چاپ بی کیفیت، اجزا اش از هم جدا شده بود، فقط جمله اش خوبه.
کلا این پیکسل هزار تومنی ها رو نخرید خیلی بی کیفیت هستن. ۵ تومنی ها خیلی بهترن .",1
جنس دسته پلاستیکی با کیفیت نامرغوب است. ولی باتوجه به قیمتش توقع بيشتري نمیشه داشت,1
"ممنون از دیجی کالا که موجودی داشت 
قیمت صعودی با شیبی بسیار بالا از 65000 در ابتدای سال برای بسنه 34 تایی به این رقم رسیده،",1
"نسبت به قیمت خوبه 
اندازش هم نه خیلی کوچیکه نه خیلی بزرگ 
برای بازی فکری هام خریدم که گفتم اونا هم با دیجیکالا میان یه وقت تاس نداشته باشن",1
متاسفانه زمانی که به دست من رسید از تاریخ انقضا درج شده یک ماه گذشته بود,0
"با قیمتی که داخل شگفت انگیز بود خیلی ارزش داشت و راضی ام
کیفیت ساختش خوبه
عکس های جعبه ای که داخل ساخت هست مدل 42 پارچه رو گذاشته با اینکه این مدل 32 پارچه هستش ",1
راستش فکرکنم. دوستان یکم زیادی تعریفشو کردن وقتی دستم گرفتم خورد تو ذوقم ولی وقتی یادم اومد بابتش چقدر دادم نیشم بازشد خوبه درکل ارزششو داره به نظرم خوبه یکی داشته باششی,1
بوى خوبي داره و قيمت نسبتا بصرفه توى تخفيف ويژه و موندگاريشم بد نيست پخش بوى خوبي هم داره ,1
الان به دستم رسید خیلی شل و البته خیلی کوچیکه  برای بچه 5ساله خوبه در کل بد نیست منکه زیاد خوشم نیامد ,0
"اصلااااااااااا تو زندگی ام یه همچین خیارشوری نخورده بودم 
افتضااااااااح",0
خیلی جالب نبود....برای پوست های چرب و جوش دار مناسب نیست چون چرب تر میکنه و حالت چسب دار میکنه,0
حرف ندارد هم قیمت عالی هم کار راه اندازه ممنونم از تامین کننده,1
مرسی از دیجی کالا.این هندزفری با قیمتش تناسب داره و خوب بود و سالم به دستم رسید و مشکلی نداشت خیلی خوب شارژ شد و جوابدهیش هم خوبه.,1
خیلی ساعت خوب و خوش دستیه من که از همه چیزش راضیم 🥰🥰🥰,0
با توجه به قیمت، ارزش خرید بالایی دارد اما پشتی آن کمی کوتاه است. عرض نشیمنگاه خوب است.,1
ابتدا با شک خریدم ولی بعد باز کردن صندلی و برای تعویض دیدم مشابه تیبا و میشه برای اون استفاده کرد,0
"من فست شارژ سفارش دادم برام  شارژر معمولی اومد که هر 1 ساعت 2 درصد شارژ میکنه بعدشم خود شارژر خیلی بیش از حد داغ میکنه 
کلا پول دور ریختنه",0
خط زن خوب و جمع و جوریه باطریشم خوب نگه میداره. قدرت موتور هم عالیه. نسبت ب بیرون قیمتش مناسب تره. درکل ارزش خرید  داره.فقط یه خورده بدنش لیزه از دست سر میخورع,1
کار راه اندازه وگرنه خیلی جنس پلاستیکش بدرد نخوره و خشک ,0
راحیه خیلی خوب و دل نشین قدرت بالا ولی بدست من رسید یکمش ریخته بود که حال مرجوع نداشتم واس همسن یک ستاره کم میکنم ,0
این محصول با توجه به قیمت و درصد الکل و کیفیت اون کاملا ارزش خرید داره و به دوستان توصیه میکنم بخرید.,1
عالی بود من از گوشی خواهرم خریدم کردم خیلی راضی بود خیلی خوشگله,0
خوبه راضیم خیلی قشنگتر از عکسشه با اکلیلهای ریز و شفافتر از عکسه. پاکت بسته بندی هم قشنگ بود.,0
در کل نسبت به قیمت کیفیت و شکل ظاهری خوبی داره,1
اگر دقت کنید تو عکس ها هم مشخصه که قلاب آویز رو با چسب به خود کاشی زدن. اندازه اش هم حدودا ۱۰×۱۰ هست,0
"من راضی ام 
در حین مکالمه صدا خوب میاد ولی ضعیف میره 
ولی نکته ای که هست اینکه با ایفون 7 صدای موزیک زیاد نیست در حالی که با لپتاپ و گوشی اندروید صداش خیلی خوبه",0
خوب توی گوش جا میگیره رنگش هم زیباست اما قیمت زیادی داره و اگر قصد خریدش رو رو دارین توصیه میکنم زمانی که اف خورده بگیرین ,1
بعد از ۲دقیقه کار میکنه.صدای کم.درکل خوبه.یسری نظرها نمیدونم چیه که نوشتن بعد بیست دقیقه کار کرد اونا حتما بلد نیستن کاکردشو.خوبه نسبت به قیمتش.بیرون گرونتره.ممنون از دی جی کالا.,1
من دوتا تو شگفت انگیز یلدا گرفتم قیمت مناسب اما یکی از تن ها نسبت روغن به مقدار گوشت ماهی بیشتر بود اما یکیش خوب بود,1
چرخ های بزرگ و روان و وزن کم بسیار مناسب متناسب با قیمت,1
"سلام
چسبندگی خوبی داره ولی فک کنم یه مقدار نازکه ولی نسبت به بقیه چسبا نمیدونم نازکیشو",0
اگه چیزی به اسم سوشرت تابستانه باشه، این همونه، مناسب بهار یا شاید تابستان، تن خور کوچیک,0
قبلا استفاده شده بود ولی بازم خوب بود ارزون بود,1
خیلی کوچیک و ریز بود یکمم رطوبت متغیر نشون میده. بد نیست ولی فردایروزی که من خریدم ۱۰۰ هزار تومن کاهش قیمت پیدا کرد.,1
والا من بخاطر نظرات مثبت اکثر دوستان خریدم اما نظر خودم درمورد این عسل زیاد مثبت نیست چون در حد این قیمت عسلهای خیلی بهتر میشه تهیه کرد,0
من دو تا سفارش دادم که فقط یکیش رسید به دستم مجبور شدم دوباره سفارش بدم و ۱۵ تومان هزینه ارسال بدم خرید اولی جنس شیشه ها بی کیفیت بود ولی خرید دومی جنس شیشه ها با کیفیت بود و راضی بودم,0
کیفیت خیلی پایینی داشت و تیوپ آن پاره شده بود,1
خوبه و خیلی قشنگ میکنه ماشینو.من روی صندوق ساینا زدم ,0
کیفیت،زیبایی و کارایی بسیار خوبی داره و نسبت به قیمتش ارزنده است,1
خیلی خوب بود من انتظار داشتم با این قیمت جنسش معمولی باشه ولی خیلی خوب و نرمه. قبلا از بیرون ۴۷ تومن خریده بودم. ,1
خیلی الکتریسیته ایجاد میکنه و تاثیر خاصی ام نداره,0
من دوستشون داشتم .نازک و کوچیک هستند اما به نسبت قیمت عالی,1
خیلی ازش راضی بودم. خیلی خوب جذب پوست میشه و بدن را نرم میکنه. پوست هم چرب نمی مونه ولی در درازمدت واقعا روی پوست اثر میگذاره و به تدریج متوجه میشید پوستتون دیرتر خشک میشه. بوی خیلی ملایمی داره,0
من حدود 6ماه پیش اینو از یه فروشگاه گرفتم، فقط حواستون باشه که نباید تقویت کننده روی موتورتون نصب کرده باشین . چون من تقویت کننده نصب کرده بودم، با مشکل مواجه شدم، وقتی به خدمات گارانتی زنگ زدم راهنماییم کردن و مشکلم حل شد، تا الآنم مشکلی نداشتم و راضی هستم,0
من حدودا دو هفته ست ک این رگال رو خریدم و راضبم خداروشکر با توجه به قیمتش کیفیت عالی داره و زیباست واقعا ممنونم از دیجی کالا و شرکت سازنده,1
واقعا متشکر از دیجی کالا بخاطر تخفیف های عالی که روی کتاب ها میزنه، کتاب خوبی هست پیشنهاد میکنم,1
من ۲ هفتست این ژلو تهیه کردم منتظر موندم بعد از ۲ هفته استفاده نتیجرو بگم.این ژل شستشو بی نظیره در عرض ۲ تا ۳ روز جوش جدیدی ک زدید رو از بین میبره و خشک میکنه.من از قبل جای جوش قهوه ای روی صورتم داشتمممم بی نظیر عمل کرد توی این دو هفته و جای جوشامو کم رنگ کردع واقعا ارزش خرید داره.از سینره و هیدرودرمم استفاده کردم اگ بخوام تو اولویت بزارم:درمالیفت-سینره-هیدرودرم,0
"قیمت زیر بازار برای یک جوران ساقربلند
جنسش عالیییی بود
خیلی راضیم. نخیه و سبک و اصلاااا بود نمیده.",1
"این گوشی حرفه ای نیست فقط برا افرادی خوبه که گیم زیاد بازی نمیکنن با تخفیف ارزش خرید داره
بهرحال ممنونم از سایت خوبتون",1
مرغ های عشقم ، قناری هام و مرغ و خروس های من ، حتی بلدرچین هام عاشق طعم این میل ورمها هستن و  من باورم نبود اینقدر ازش استقبال کنن،  به علاوه تمیز و کاملا بهداشتیه بار سومه که براشون گرفتم. به عنوان تشویقی برای تخم گذاریشون عالیه‌.,0
واقعا راضی هستم ازش همون چیزیه ک میخواستم جادار و خوب بسته بندی و زمانی هک ک رسید خوب بود,0
برای هر چادری یه دونه از این لامپا ضروریه ,0
"با این که من برای درست کردن ماسک میخواستم و کاسه کوچک مد نظرم بود ولی باز هم کوچکتر از تصورم بود گرچه برای کاسه رنگ ابرو کاملا مناسبه
من برای درست کردن ماسک خانگی استفاده میکنم",0
جعبه نداشت.کف ظرف بزرگ تماما خط وخش قهوه ای داشت .انگار از ظروف مرجوعی بوده.در ظرف هم بی کیفیت بود,0
بهترین محصولی هست که دیدم چون قبلا دوبرابر بیشتر از این داده بودم و راضی نیودم ولی با این خرید لذت بردم,1
نسبت به قیمتی داره می ارزه، هر چقدر پول بدید همون قدر اش می خورید.,1
یکی از بهترین خریدهایی که از دیجی کالا کردم، خرید این سری از محصولات بود. وقت کنید که موادی با این قیمت نشانگر اینه که مواد اولیه‌ی مناسبی داخل کار وجود نداره اما در صورتی خطرزاست که استفاده‌ی خیلی زیادی داشته باشید. واسه منی که خیلی استفاده ندارم این قیمت و کیفیت واقعا مناسبه. ظاهر زیبایی هم دارن. قیمت دیجی کالا هم تقریبا نصف بازاره,1
ما هفته ای یه بار با ماشین میشوریم هیچ اتفاقی براش نیفتاده زیبا و با رنگهای ثابت ,0
"هر کتابی یکبار ارزش خوندن داره
بخرید عالی
هزینه کردن واسه کتاب سرمایه گزاری شخصی است
و سرمایه گزاری روی خودمون بهترین نوع سرمایه گزاری است.",1
کیفیت به قیمت می ارزد ولی کیفیت خوبی ندارد و ضایعات ام دی اف و هایگلاس است با رنگهای مختلف و لب پریده و تیز .,1
هیچ استفاده ای نمیشه کرد نه به عنوان تزیینی نه به عنوان استفاده,0
عالیه واقعا رنگش زیباست و سر به ندرت میشکنه,0
"من این گوشی چتد وقت پیش واسه بابام گرفتم 
خیلی سایزش کوچیکه بابام‌چشمش ضعیفه نمیتونه درست بخونه حروف 
قیمت خوبی داره ولی",1
"نسبت به قیمت عالیه.
واقعا بچه ها رو سرگرم میکنه.
بهتره موقع سفارش محلول اضافه هم سفارش بدید.",0
دوستان من مدتی هست که این سه پایه رو خریدم وازخریدم خیلی راضی ام برای کار عکاسی وفیلمبرداری حرفه ای عالیه.قیمتش به نسبت برخی از برند ها که پول مارک وبرندشان را میگیرن هم خوبه...,1
استفاده نکردم ولی مطمئن تایید شده است و کیفیت خوبی داره. از نظر ‌کسانی که استفاده کردند میشه متوجه شد,0
کتاب محبوب و خوبیه. هنوز کامل نخوندمش ولی ب لحاظ جلد و زیبایی خوبه و سالم تحویل شد مرسی,0
"من تازه چند روز هست که این کفش رو برای پسرم خریدم
خودش که خیلی از طرح و رنگش راضیه
بنظر خودم هم کفش بدی نیست و از لحاظ کیفیت با قیمتش تناسب داره",1
من پوست مختلط دارم بعد از استفاده پوست رو نرم میکنه و خشک نمیشه تو خرید شگفت انگیز خریدنش واقعا پیشنهاد میشه ,1
خیلی خوب بود راضی هستم مخصوصاً که بچم تبلت ایپدت داره خوبه,0
به نظر من بهترین مارک خمیر دندان هستش من خیلی وقته فقط همین برند رو میزنم یه سر و گردن از بقیه بالاتره فقط فوق العاده گرون شده باعث تأسفه,1
"بسیار عالی و دوست داشتنی 
جنس اصل و با کیفیت و قیمت هم خیلی مناسبه قبلا از بیرون تهیه میکردم البته بعد از کلی جستجو کردن دیجی کالا کار رو راحت کرده 
ممنون از شما",1
کیفیت وجنس خوبی داره وکاربریش عالیه برای هرچی وسیله ریزازجمله فلش هنسفری بی سیم وباسیم حتی شارژوهمچنین گذاشتن وسایل ریزمثل انگشترساعت خلاصه استفاده زیادداره وهمچنین قیمت بسیارارزان دیجی عالی بودباتشکرخداقوت دیجی,0
من فقط با کد تخفیف این برنج را میخرم گلستان قبلا برنجش خیلی بهتر بود ولی الان زیاد جالب نیست,1
صندل قشنگ و شیکی است، طبق نظر های مردمی یک سایز بزرگتر گرفتم و کاملا اندازه شد ,0
عالی بود اما رنگش اصلا قهوه ای نبود بد رنگ بود,0
دستگاه خوب و با دوامی هس من برای لک قسمتی از بدنم که در اثر خارش ایجاد شده بود سفارش دادم حس میکنم شاید ۲۰ درصد روشن تر شد اما کامل از بین نرفت,0
"من دور دومه دارم از کاپ استفاده میکنم
یعنی باورم نمیشه که شب اول پریودی انقد راحت و مث همیشه خوابیدم
بهترین هدیه زندگیم به خودم بوده تا الان

بعید میدونم چیزی بهتر از این باشه
دیگه نه حس خیسی نه حس خونریزی
وااای که چقدر عالیه
هیچوقت فکر نمیکردم این دوره برام عادی و راحت باشه
الان خییییییلی خوشحالم
تازه دیشب مهمون داشتم
انقد ریلکس و راحت بودم که خدا میدونه
با قاطعیت میگم تو خریدش شک نکنید",0
یک کتاب مفید و جالب البته فعلا تا فصل هفتم رو خوندم و کلی غصه خوردم,0
کار راه انداز هست خوبه نسب به مارک های دیگه بازار احساس میکنم ضعیفه قیمشم گرون تر هست,1
با قیمتهای الان خرید این محصول اگر اصل باشه با حدود ۷۴هزار تومن بد نیست . هنوز استفاده نکردم که در مورد کیفیت بتونم نظر بدم ولی طبق برچسب سازمان بهداشت تا ۲۸ فوریه ۲۰۲۱ انقضا میشه که خوب مدتش خیلی کمه .برای همین شاید قیمت پایین تر فروختن.,1
برای استفاده روزانه خوبه ولی مواد داخلش زیاد نیست ولی کسی که بخواد فقط مژه هاش سیاه بشه و یه چهره طبیعی داشته باشه خوبه,0
من موهام بخاطر شامپویی که بهش نساخت شوک شد و شوره ریخت بیرون این شامپو رو با توجه به نظرات دوستان خریداری کردم و الان راضی هستم دیگه شوره ندارم,1
"سلام 
جنسش خوب و باکیفیت قیمتش هم که عالیه 
",1
گرونه ،مغازه ها ارزونتر میدن ازاینم جنسشون بهتره,1
همیشه ازاین مارک استفاده کردم و راضی بودم، بهترینه پشیمون نمیشید هم کیفیتش خوبه و قیمتش ,1
این گوشی بخاطر اینکه دوربین نداره مناسب بعضی مشاغل خاصه و ارزش خرید داره,1
به نسبت قیمت و کیفیت خوبی که داره ، توصیه میکنم بخرین ,1
خیلی دوخت تمیز و شکیلی داره بسته بندی مناسب کلاه هم فرستاده بودن خیلی خوشگله,0
وقتی فیله مرغ می خریم انتظار داریم نیاز به پاک کردن نداشته باشه. در حالی که چون خوب تمیز نشده بود مجبور شدم دوباره عصب ها رو جدا کنم ازش,0
با این قیمت واقعا خوبه ولی جنش خیلی محکمی نداره و کمی ضعیفه برای مرتب کردن ریش و این ها خوبه ,1
صداش خوبه ولی عالی نیست. با این قیمت ارزندست,1
برای چاقویی که کنده خوبه ، اما چاقویی که تیز هست ، میخواین تیزتر بشه رو خراب می‌کنه ,0
اسپری و فوم لاستیک دیرگون از مارکای ایرانی بخیلی بهتره و من حتما پیشنهاد میکنم,0
من تراشکارم خیلی از این میکرومتر راضی هستم حتی با نمونه های چند میلیونی برابری میکنه بسیار دقیق و باکیفیت حتی تستش هم کردم که بدون اختلاف حتی یک صدم میلیمتر با نمونه ژاپنی برابری داره امیدوارم که دوامش هم خوب باشه.,0
گوشت با کیفیت و خوبیه فقط اگر تاریخ روز ارسال بشه عالی میشه کاش یه گزینه داشت دیجی کالا که میزدی تاریخ روز ارسال شود اگر نبود اون یه قلم سفارشتو کنسل میکرد,0
"برای هدیه دادن گرفتم
از نظر ظاهری خیلی خوشگل  و بانمکه
کیفیت خوبی داره
موزیک های مختلف داره
ارزش خریدن داره ",1
در مدت دو روز با ۳۰ هزار تومان اختلاف محصول رو خریداری کردم و محصول مورد نظر من نبود .,1
برای هر اشپزخونه ای لازمه.رنگش مثل رنگ تصویر نیست ولی برای من مهم نبود,0
"فکر نمیکنم نیاز به تعریف داشته باشه
اگه تا الان نخوندین حتما بخونینش
تگر تو خرید ویژه هست فکر نکنین به خاطر ترجمه‌ی بدش هست. ترجمه‌ش خوب بود",0
قیمت در شگفت انگیز به صرفه بود.کیفیت هم خوب است.ممنون,1
با توجه به قیمت شگفت انگیز خوبه..برگه هاش خوبن یکم فقط جلدش نازکه,1
پالتوی زیبایی هست اما زیاد گرم نیست، و مطمئن نیستم به این قیمت بیارزه. در ضمن سایزبندیش هم یه مقدار بزرگتر از حد معمول هست. ,1
بسیار عالی و زیبا و قشنگ و کیفیت کالا بسیار عالی و قیمت مناسب است,1
"خیلی گوگولی و خوشگلن
جنس نسبت به قیمت عالیه",1
همونه که میخواستم. به نسبت قیمتش واقعا ارزش خرید داره,1
با سلام دوستان این کفش به دلیل سبکی و خوب بودن زیره به نسبت این رنج قیمتی به شدت واسه پیاده روی پیشنهاد میشه ولی خب انتظاری نداشته باشید خوش پایی کفش های خارجی و رده بالا داشته باشه تقریبا توی پاش مثل عکسیه که گذاشتن جنس رویه هم خیلی عادی فقط مال اینه بپوشین و راه برید و توصیه من اینه اگه خواستید بخرید یه دونه بند کفش هم از دیجیکالا سفارش بدید چون نه اندازه بود بنداش نه کیفیت خوبی داشت,1
"جورابی که ارسال شد زیاد جالب نبود سایز هر کدوم هم متفاوت بود 
اگر کمی توی ارسال دقت بشه عالیه",0
خوب بود نسبت به قیمت فقط یکم آهنرباش ضعیف بود ولی در کل خوبه,1
"دمشون گرم با تولید داخلی. بسیار با کیفیت همراه با دفترچه اموزش حرکات
فقط نباید بادش خالی بشه که به مشکل میخوره",0
